Dmel_CG3936	Dmel_CG10580
Dmel_CG16757	Dmel_CG10583
Dmel_CG5052	Dmel_CG10583
Dmel_CG5785	Dmel_CG10583
Dmel_CG8552	Dmel_CG10583
Dmel_CG8402	Dmel_CG10584
Dmel_CG5723	Dmel_CG10588
Dmel_CG2813	Dmel_CG10589
Dmel_CG30425	Dmel_CG1059
Dmel_CG31012	Dmel_CG1059
Dmel_CG33113	Dmel_CG1059
Dmel_CG3665	Dmel_CG1059
Dmel_CG6297	Dmel_CG1059
Dmel_CG8472	Dmel_CG10593
Dmel_CG16757	Dmel_CG10596
Dmel_CG3665	Dmel_CG10600
Dmel_CG8552	Dmel_CG10602
Dmel_CG1100	Dmel_CG10603
Dmel_CG11405	Dmel_CG10603
Dmel_CG11734	Dmel_CG10603
Dmel_CG12141	Dmel_CG10603
Dmel_CG12245	Dmel_CG10603
Dmel_CG15249	Dmel_CG10603
Dmel_CG16858	Dmel_CG10603
Dmel_CG16916	Dmel_CG10603
Dmel_CG1716	Dmel_CG10603
Dmel_CG18028	Dmel_CG10603
Dmel_CG1837	Dmel_CG10603
Dmel_CG2990	Dmel_CG10603
Dmel_CG3114	Dmel_CG10603
Dmel_CG3433	Dmel_CG10603
Dmel_CG3595	Dmel_CG10603
Dmel_CG3991	Dmel_CG10603
Dmel_CG4079	Dmel_CG10603
Dmel_CG4164	Dmel_CG10603
Dmel_CG4757	Dmel_CG10603
Dmel_CG5836	Dmel_CG10603
Dmel_CG9635	Dmel_CG10603
Dmel_CG9947	Dmel_CG10603
Dmel_CG10609	Dmel_CG10609
Dmel_CG12193	Dmel_CG10609
Dmel_CG1854	Dmel_CG10609
Dmel_CG7717	Dmel_CG10610
Dmel_CG2244	Dmel_CG10618
Dmel_CG1389	Dmel_CG10619
Dmel_CG5723	Dmel_CG10625
Dmel_CG2096	Dmel_CG1063
Dmel_CG2621	Dmel_CG1063
Dmel_CG9533	Dmel_CG1063
Dmel_CG11992	Dmel_CG10630
Dmel_CG18492	Dmel_CG10630
Dmel_CG4201	Dmel_CG10630
Dmel_CG5576	Dmel_CG10630
Dmel_CG7486	Dmel_CG10630
Dmel_CG8293	Dmel_CG10630
Dmel_CG17369	Dmel_CG10631
Dmel_CG8552	Dmel_CG10631
Dmel_CG10379	Dmel_CG10637
Dmel_CG12008	Dmel_CG10637
Dmel_CG14513	Dmel_CG10637
Dmel_CG1524	Dmel_CG10637
Dmel_CG15804	Dmel_CG10637
Dmel_CG17947	Dmel_CG10637
Dmel_CG2033	Dmel_CG10637
Dmel_CG2210	Dmel_CG10637
Dmel_CG2621	Dmel_CG10637
Dmel_CG3422	Dmel_CG10637
Dmel_CG3661	Dmel_CG10637
Dmel_CG3779	Dmel_CG10637
Dmel_CG3922	Dmel_CG10637
Dmel_CG4087	Dmel_CG10637
Dmel_CG4254	Dmel_CG10637
Dmel_CG5125	Dmel_CG10637
Dmel_CG6510	Dmel_CG10637
Dmel_CG7108	Dmel_CG10637
Dmel_CG7622	Dmel_CG10637
Dmel_CG7831	Dmel_CG10637
Dmel_CG8439	Dmel_CG10637
Dmel_CG8982	Dmel_CG10637
Dmel_CG9191	Dmel_CG10637
Dmel_CG9432	Dmel_CG10637
Dmel_CG9533	Dmel_CG10637
Dmel_CG9553	Dmel_CG10637
Dmel_CG3938	Dmel_CG1064
Dmel_CG5942	Dmel_CG1064
Dmel_CG8651	Dmel_CG1064
Dmel_CG5723	Dmel_CG10640
Dmel_CG2621	Dmel_CG10648
Dmel_CG1483	Dmel_CG1065
Dmel_CG8402	Dmel_CG10651
Dmel_CG10579	Dmel_CG10652
Dmel_CG10637	Dmel_CG10652
Dmel_CG12297	Dmel_CG10652
Dmel_CG16757	Dmel_CG10652
Dmel_CG3305	Dmel_CG10652
Dmel_CG3624	Dmel_CG10652
Dmel_CG40411	Dmel_CG10652
Dmel_CG4700	Dmel_CG10652
Dmel_CG5227	Dmel_CG10652
Dmel_CG8552	Dmel_CG10652
Dmel_CG9261	Dmel_CG10652
Dmel_CG5723	Dmel_CG10660
Dmel_CG3665	Dmel_CG10664
Dmel_CG10498	Dmel_CG10667
Dmel_CG10521	Dmel_CG10667
Dmel_CG3041	Dmel_CG10667
Dmel_CG31196	Dmel_CG10667
Dmel_CG3665	Dmel_CG10667
Dmel_CG5363	Dmel_CG10667
Dmel_CG8409	Dmel_CG10667
Dmel_CG10521	Dmel_CG10670
